study_id,year,doi,modalidad,title,stage_primary,stage_norm,q2_candidate_abstract,q2_candidate_terms,AI_task_type,notes_coding,integration_approach,integration_trace,decision_timing,decision_timing_trace,review_trace
1,2025,https://doi.org/10.1109/ACCESS.2025.3586314,No especificado,A Clinically Interpretable Approach for Early Detection of Autism Using Machine Learning With Explainable AI,Prescreening,Prescreening,1.0,1.0,Classification (ASD vs control / multi-class),"“Comparative ML study: Naive Bayes, SVM, Random Forest; RF best; explainability via SHAP; 5-fold CV.”",Second-reader decision support,Keyword rule matched second-reader decision support,In-decision,Second-reader pattern maps to in-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
4,2025,https://doi.org/10.1007/978-981-96-3942-7_18,No especificado,Cognitive Disorder Detection Used for Early Autism Screening Using Deep Learning,Diagnosis,Diagnosis,1.0,1.0,Classification (ASD vs control / multi-class),Classification task; target label not consistently described (cognitive disorder/MiCD vs ‘early autism screening,Second-reader decision support,Keyword rule matched second-reader decision support,In-decision,Second-reader pattern maps to in-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
6,2017,https://doi.org/10.1186/s13229-017-0180-6,Imagen,Sparsifying machine learning models identify stable subsets of predictive features for behavioral detection of autism,Screening,Screening,0.0,0.0,Classification (ASD vs control / multi-class),Comparative study (17 supervised models); sparse/regularized; interpretable candidates include Logistic Regression (L2) and Linear SVM (L1).,Second-reader decision support,Keyword rule matched second-reader decision support,In-decision,Second-reader pattern maps to in-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
8,2024,https://doi.org/10.3390/s24237489,Imagen,A Closed-Loop Ear-Worn Wearable EEG System with Real-Time Passive Electrode Skin Impedance Measurement for Early Autism Detection †,diagnosis,Diagnosis,0.0,0.0,Classification (ASD vs control / multi-class),,Second-reader decision support,Keyword rule matched second-reader decision support,In-decision,Second-reader pattern maps to in-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
9,2019,https://doi.org/10.1016/j.csl.2018.11.002,Audio · Voz,An automated assessment framework for atypical prosody and stereotyped idiosyncratic phrases related to autism spectrum disorder,diagnosis,Diagnosis,0.0,0.0,Classification (ASD vs control / multi-class),"“End-to-end models: CNN, RNN(BLSTM), CNN+RNN(GRU/LSTM) on spectrograms; baseline OpenSMILE+linear SVM; text task uses linear SVM with n-gram/dep-treebank/TF-IDF/LIWC; score-level fusion.",Second-reader decision support,Keyword rule matched second-reader decision support,In-decision,Second-reader pattern maps to in-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
10,2024,https://doi.org/10.1109/TAI.2024.3439288,Texto · NLP,Artificial Intelligence Driven Predictive Analysis of Acoustic and Linguistic Behaviors for ASD Identification,diagnosis,Diagnosis,1.0,1.0,Classification (binary/multi-class; incl. ASD vs control)/ multi-class),,Second-reader decision support,Keyword rule matched second-reader decision support,In-decision,Second-reader pattern maps to in-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
11,2025,https://doi.org/10.2196/72115,Imagen,Data Mining-Based Model for Computer-Aided Diagnosis of Autism and Gelotophobia: Mixed Methods Deep Learning Approach.,diagnosis,Diagnosis,1.0,1.0,Classification (ASD vs control / multi-class),ASD status classification from facial images using DeepFace feature extraction; multiple ML models evaluated; MLP reported as highest test accuracy; gelotophobia assessed via DeepFace emotion analysis + GELOPH<15> questionnaire as confirmatory when facial cues ambiguous,Triage / questionnaires,Keyword rule matched triage/questionnaire workflow,Pre-decision,Approach maps directly to pre-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
12,2019,https://doi.org/10.1001/jamapediatrics.2019.0285,Multimodal,Effect of Wearable Digital Intervention for Improving Socialization in Children with Autism Spectrum Disorder: A Randomized Clinical Trial,monitoring_intervention,Monitoring/intervention,1.0,1.0,Other,Wearable AI-driven behavioral intervention (‘Superpower Glass’) that detects facial expressions and provides cues for emotion recognition during home sessions; clinical RCT; AI model family not specified in paper text.,Mobile screening,Keyword rule matched mobile screening workflow,Pre-decision,Approach maps directly to pre-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
15,2025,https://doi.org/10.1016/j.mex.2025.103278,Imagen,Hybrid CNN and random forest model with late fusion for detection of autism spectrum disorder in Toddlers,screening,Screening,0.0,0.0,Classification (binary/multi-class; incl. ASD vs control)/ multi-class),Hybrid late-fusion: VGG16 (CNN feature extractor) + Random Forest classifier; compares vs VGG16/EfficientNet/AlexNet and conventional ML,Triage / questionnaires,Keyword rule matched triage/questionnaire workflow,Pre-decision,Approach maps directly to pre-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
16,2025,https://doi.org/10.1007/978-3-031-81083-1_7,No especificado,Machine Learning Approaches for the Early Diagnosis of Autism Spectrum Disorder: A Systematic Framework,screening,Screening,1.0,1.0,Not clear,,Adaptive intervention,Keyword rule matched adaptive intervention workflow,Post-decision,Approach maps directly to post-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
17,2024,https://doi.org/10.1038/s41398-024-02802-5,Imagen,Machine learning classification of autism spectrum disorder based on reciprocity in naturalistic social interactions,diagnosis,Diagnosis,0.0,0.0,Classification (ASD vs control / multi-class),Naturalistic social interaction videos; open-source computer vision used for objective annotation (movement/facial expression synchrony); features fed into SVM model to classify autistic vs non-autistic interaction dyads; supplementary exploratory RF mentioned,Second-reader decision support,Keyword rule matched second-reader decision support,In-decision,Second-reader pattern maps to in-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
20,2014,https://doi.org/10.1038/tp.2014.65,No especificado,Testing the accuracy of an observation-based classifier for rapid detection of autism risk.,screening,Screening,0.0,0.0,Classification (ASD vs control / multi-class),Algorithm specifically is Alternating Decision Tree (ADTree) (not a standard single CART/ID3); mapped to Decision Tree due to allowed categories,Second-reader decision support,Keyword rule matched second-reader decision support,In-decision,Second-reader pattern maps to in-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
21,2024,https://doi.org/10.1038/s41598-024-81652-z,Señales fisiológicas,Using deep learning to classify developmental differences in reaching and placing movements in children with and without autism spectrum disorder,diagnosis,Diagnosis,0.0,0.0,Classification (binary/multi-class; incl. ASD vs control)/ multi-class),,Second-reader decision support,Keyword rule matched second-reader decision support,In-decision,Second-reader pattern maps to in-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
22,2021,https://doi.org/10.3390/s21175822,Señales fisiológicas,A CNN deep local and global ASD classification approach with continuous wavelet transform using task-based FMRI,screening,Screening,1.0,1.0,Classification (binary/multi-class; incl. ASD vs control)/ multi-class),"Incluye clustering para ROI/selección dimensional y generan “brain map indicating ASD severity level”, pero el objetivo central del sistema es clasificación ASD vs TD con CNN.",Feature extraction,Keyword rule matched feature extraction workflow,Pre-decision,Approach maps directly to pre-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
29,2025,https://doi.org/10.1016/j.bspc.2025.107737,Imagen,An intellectual autism spectrum disorder classification framework in healthcare industry using ViT-based adaptive deep learning model,screening,Screening,0.0,0.0,Classification (binary/multi-class; incl. ASD vs control)/ multi-class),Hybrid architecture includes ViT + (Adaptive Residual DenseNet) + LSTM; mapped to Transformer as primary component.,Feature extraction,Keyword rule matched feature extraction workflow,Pre-decision,Approach maps directly to pre-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
30,2020,https://doi.org/10.1016/j.procs.2020.03.399,No especificado,Analysis and Detection of Autism Spectrum Disorder Using Machine Learning Techniques,screening,Screening,0.0,0.0,Classification (binary/multi-class; incl. ASD vs control)/ multi-class),"Comparan varios algoritmos (Naive Bayes, SVM, LR, KNN, NN y CNN); para tu columna AI_algorithm_main conviene poner CNN porque es el que señalan como mejor globalmente",Second-reader decision support,Keyword rule matched second-reader decision support,In-decision,Second-reader pattern maps to in-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
31,2021,https://doi.org/10.1016/j.gltp.2021.08.042,No especificado,ASD classification for children using deep neural network,diagnosis,Diagnosis,0.0,0.0,Classification (binary/multi-class; incl. ASD vs control)/ multi-class),Tabular screening dataset; diffusion mapping + DNN classifier.,Mobile screening,Keyword rule matched mobile screening workflow,Pre-decision,Approach maps directly to pre-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
32,2025,https://doi.org/10.1016/j.compbiomed.2025.110723,Señales fisiológicas,ASD-GraphNet: A novel graph learning approach for Autism Spectrum Disorder diagnosis using fMRI data,diagnosis,Diagnosis,0.0,0.0,Classification (binary/multi-class; incl. ASD vs control)/ multi-class),"Graph feature engineering + classifier comparison (LR, SVM, XGBoost/LightGBM); main/best model not specified in abstract",Feature extraction,Keyword rule matched feature extraction workflow,Pre-decision,Approach maps directly to pre-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
37,2023,https://doi.org/10.32604/cmc.2023.032586,No especificado,Jellyfish Search Optimization with Deep Learning Driven Autism Spectrum Disorder Classification,prognosis,Prognosis,0.0,0.0,Classification (ASD vs control / multi-class),,Feature extraction,Keyword rule matched feature extraction workflow,Pre-decision,Approach maps directly to pre-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
38,2021,https://doi.org/10.1038/s41598-021-86320-0,Imagen,Machine learning analysis of pregnancy data enables early identification of a subpopulation of newborns with ASD,diagnosis,Diagnosis,0.0,0.0,Classification (ASD vs control / multi-class),“Main classifier: Gradient Boosting Decision Trees implemented with XGBoost; feature selection via Lasso (automatic / semi-automatic) + SHAP interpretability; nested CV.,Feature extraction,Keyword rule matched feature extraction workflow,Pre-decision,Approach maps directly to pre-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
39,2023,https://doi.org/10.3390/ijms24032082,No especificado,Machine Learning-Based Blood RNA Signature for Diagnosis of Autism Spectrum Disorder,diagnosis,Diagnosis,0.0,0.0,Classification (binary/multi-class; incl. ASD vs control)/ multi-class),También usan Extra Trees,Second-reader decision support,Keyword rule matched second-reader decision support,In-decision,Second-reader pattern maps to in-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
40,2023,https://doi.org/10.1038/s41380-023-02051-w,No especificado,Metabolomic analysis of maternal mid-gestation plasma and cord blood in autism spectrum disorders,diagnosis,Diagnosis,1.0,1.0,Classification (binary/multi-class; incl. ASD vs control)/ multi-class),,Second-reader decision support,Keyword rule matched second-reader decision support,In-decision,Second-reader pattern maps to in-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
47,2024,https://doi.org/10.1007/s13755-024-00299-2,Imagen,A novel multi-modal model to assist the diagnosis of autism spectrum disorder using eye-tracking data,diagnosis,Diagnosis,1.0,1.0,Classification (binary/multi-class; incl. ASD vs control)/ multi-class),Hybrid CNN-GRU-ANN; mapped to RNN/LSTM/GRU as main due to temporal sequence modeling,Second-reader decision support,Keyword rule matched second-reader decision support,In-decision,Second-reader pattern maps to in-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
49,2021,https://doi.org/10.1007/978-3-030-93049-3_30,Señales fisiológicas,A Triple-Pooling Graph Neural Network for\&#xa0;Multi-scale Topological Learning of\&#xa0;Brain Functional Connectivity: Application to\&#xa0;ASD Diagnosis,Diagnosis,Diagnosis,1.0,1.0,Classification (binary/multi-class; incl. ASD vs control)/ multi-class),Graph Neural Network (TPGNN) for rs-fMRI functional connectivity; mapped to Other (GNN not in list),Second-reader decision support,Keyword rule matched second-reader decision support,In-decision,Second-reader pattern maps to in-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
53,2023,https://doi.org/10.1002/AUR.2912,No especificado,Development and validation of a machine learning-based tool to predict autism among children,diagnosis,Diagnosis,1.0,1.0,Prediction (time-to-event / prognosis),También entrenan Gradient Boosted Trees (XGBoost/GBDT) y reportan desempeño comparable en validación.,Risk stratification,Stage or keywords matched risk stratification,Pre-decision,Approach maps directly to pre-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
54,2015,https://doi.org/10.1016/j.nicl.2015.04.002,Señales fisiológicas,"Diagnostic classification of intrinsic functional connectivity highlights somatosensory, default mode, and visual regions in autism",diagnosis,Diagnosis,0.0,0.0,Classification (binary/multi-class; incl. ASD vs control)/ multi-class),,Second-reader decision support,Keyword rule matched second-reader decision support,In-decision,Second-reader pattern maps to in-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
55,2024,https://doi.org/10.1007/s00431-024-05837-4,Imagen,Early diagnostic value of home video–based machine learning in autism spectrum disorder: a meta-analysis,screening,Screening,0.0,0.0,,,Risk stratification,Stage or keywords matched risk stratification,Pre-decision,Approach maps directly to pre-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
58,2021,https://doi.org/10.1007/978-3-030-88163-4_7,No especificado,Event Related Potential Analysis Using Machine Learning to Predict Diagnostic Outcome of Autism Spectrum Disorder,diagnosis,Diagnosis,1.0,1.0,Prediction (time-to-event / prognosis),,Risk stratification,Stage or keywords matched risk stratification,Pre-decision,Approach maps directly to pre-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
59,2019,https://doi.org/10.1089/brain.2019.0689,Multimodal,Functional Connectivities Are More Informative Than Anatomical Variables in Diagnostic Classification of Autism,monitoring_intervention,Monitoring/intervention,1.0,1.0,Classification (binary/multi-class; incl. ASD vs control)/ multi-class),,Second-reader decision support,Keyword rule matched second-reader decision support,In-decision,Second-reader pattern maps to in-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
61,2022,https://doi.org/10.1007/s12539-022-00510-6,Imagen,Identifying Visual Attention Features Accurately Discerning Between Autism and Typically Developing: a Deep Learning Framework,monitoring_intervention,Monitoring/intervention,1.0,1.0,Classification (binary/multi-class; incl. ASD vs control)/ multi-class),,Second-reader decision support,Keyword rule matched second-reader decision support,In-decision,Second-reader pattern maps to in-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
64,2025,https://doi.org/10.1016/j.mex.2025.103166,Imagen,Leveraging hybrid model of ConvNextBase and LightGBM for early ASD detection via eye-gaze analysis,screening,Screening,0.0,0.0,Classification (binary/multi-class; incl. ASD vs control)/ multi-class),Es un híbrido: ConvNeXtBase (CNN) como extractor de características + LightGBM (GBDT) como clasificador.,Second-reader decision support,Keyword rule matched second-reader decision support,In-decision,Second-reader pattern maps to in-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
68,2017,https://doi.org/10.1002/AUR.1735,Texto · NLP,Perceived social support in adults with autism spectrum disorder and attention-deficit/hyperactivity disorder,diagnosis,Diagnosis,0.0,0.0,Regression (score / severity / risk),ste paper no es diagnóstico ASD vs control; usa ML para modelar/predicir un puntaje de apoyo social percibido (MSPSS-f) en grupos ASD/ADHD/controles.,Risk stratification,Stage or keywords matched risk stratification,Pre-decision,Approach maps directly to pre-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
70,2024,https://doi.org/10.1016/j.pscychresns.2023.111762,Señales fisiológicas,Relationship between abnormal intrinsic functional connectivity of subcortices and autism symptoms in high-functioning adults with autism spectrum disorder,prognosis,Prognosis,1.0,1.0,Classification (binary/multi-class; incl. ASD vs control)/ multi-class),,Second-reader decision support,Keyword rule matched second-reader decision support,In-decision,Second-reader pattern maps to in-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
73,2021,https://doi.org/10.1109/TNSRE.2021.3120024,No especificado,A Convolutional Neural Network Combined With Prototype Learning Framework for Brain Functional Network Classification of Autism Spectrum Disorder,diagnosis,Diagnosis,0.0,0.0,Classification (binary/multi-class; incl. ASD vs control)/ multi-class),,Feature extraction,Keyword rule matched feature extraction workflow,Pre-decision,Approach maps directly to pre-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
84,2024,https://doi.org/10.1371/journal.pone.0311209,Texto · NLP,Creating a diagnostic assessment model for autism spectrum disorder by differentiating lexicogrammatical choices through machine learning,diagnosis,Diagnosis,0.0,0.0,Classification (binary/multi-class; incl. ASD vs control)/ multi-class),comparan modelo lineal vs DNN; el modelo lineal es logistic regression (baseline interpretable).,Second-reader decision support,Keyword rule matched second-reader decision support,In-decision,Second-reader pattern maps to in-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
86,2025,https://doi.org/10.1038/s41398-025-03566-2,Señales fisiológicas,"Dissecting the heterogeneity of autism spectrum disorder with sensory behavior, brain, and epigenetic factors",Diagnosis,Diagnosis,1.0,1.0,Classification (ASD vs control / multi-class),Clasificación ASD vs control integrando AASP (sensory behavior) + neuroimagen + metilación (OXTR/AVPR). Evaluaron varios algoritmos; el modelo final reportado usa XGBoost (otros probados: RF/SVM/LR).,Second-reader decision support,Keyword rule matched second-reader decision support,In-decision,Second-reader pattern maps to in-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
87,2020,https://doi.org/10.1016/j.rasd.2020.101514,No especificado,Examining the specificity of postural control deficits in children with Autism Spectrum Disorder using a cross-syndrome approach,Monitoring/intervention,Monitoring/intervention,1.0,1.0,,,Adaptive intervention,Fallback assigned from monitoring/intervention stage,Post-decision,Approach maps directly to post-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
89,2018,https://doi.org/10.1055/s-0038-1626727,Imagen,Feasibility Testing of a Wearable Behavioral Aid for Social Learning in Children with Autism,Monitoring/intervention,Monitoring/intervention,0.0,0.0,Classification (ASD vs control / multi-class),"Clasificación ASD vs NC usando matrices de confusión de reconocimiento de emociones; el sistema (Google Glass) da ‘emotion labeling’, pero el clasificador principal para inferir ASD/NC es logistic regression",Mobile screening,Keyword rule matched mobile screening workflow,Pre-decision,Approach maps directly to pre-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
90,2023,https://doi.org/10.1109/ACCESS.2023.3302903,No especificado,Handwriting-Based ADHD Detection for Children Having ASD Using Machine Learning Approaches,diagnosis,Diagnosis,0.0,0.0,Classification (binary/multi-class; incl. ASD vs control)/ multi-class),Target is ADHD with coexisting ASD vs healthy (not ASD diagnosis). RF best on periodic lines task.,Second-reader decision support,Keyword rule matched second-reader decision support,In-decision,Second-reader pattern maps to in-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
91,2022,https://doi.org/10.1007/978-3-031-09342-5_11,No especificado,Integrating Graph Convolutional Networks (GCNNs) and Long Short-Term Memory (LSTM) for Efficient Diagnosis of Autism,diagnosis,Diagnosis,0.0,0.0,Classification (binary/multi-class; incl. ASD vs control)/ multi-class),Hybrid GCNN + LSTM on ABIDE fMRI; mapped to Other because GNN not in algorithm list.,Second-reader decision support,Keyword rule matched second-reader decision support,In-decision,Second-reader pattern maps to in-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
96,2019,https://doi.org/10.1016/j.envres.2018.12.061,No especificado,Polychlorinated biphenyls influence on autism spectrum disorder risk in the MARBLES cohort,Prognosis,Prognosis,1.0,1.0,Other,Epidemiologic multinomial logistic regression (not ML/AI). Outcome categories ASD / Non-TD / TD at 3 years,Second-reader decision support,Keyword rule matched second-reader decision support,In-decision,Second-reader pattern maps to in-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
97,2020,https://doi.org/10.1109/EMBC44109.2020.9176843,Imagen,Predicting Core Characteristics of ASD Through Facial Emotion Recognition and Eye Tracking in Youth.,monitoring_intervention,Monitoring/intervention,0.0,0.0,Regression (score / severity / risk),"aunque el paper comenta que el enfoque “may serve as a classifier for ASD diagnosis” y muestra ROC para clasificación, el pipeline principal reportado es regresión de puntajes; por eso conviene codificarlo como Regression",Risk stratification,Stage or keywords matched risk stratification,Pre-decision,Approach maps directly to pre-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
103,2018,https://doi.org/10.1002/AUR.1960,Multimodal,Using machine learning to identify patterns of lifetime health problems in decedents with autism spectrum disorder,Monitoring/intervention,Monitoring/intervention,1.0,1.0,Classification (binary/multi-class; incl. ASD vs control)/ multi-class),"la clasificación se hace a partir de códigos ICD-9/V/E de EHR en decedentes, para distinguir patrones de salud de por vida (no es biomarcador directo ni herramienta clínica prospectiva).",Second-reader decision support,Keyword rule matched second-reader decision support,In-decision,Second-reader pattern maps to in-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
104,2025,https://doi.org/10.1002/hbm.70190,Multimodal,A Framework for Comparison and Interpretation of Machine Learning Classifiers to Predict Autism on the ABIDE Dataset,Diagnosis,Diagnosis,1.0,1.0,Classification (binary/multi-class; incl. ASD vs control)/ multi-class),este paper es benchmark/comparación bajo un marco estandarizado; reporta que el mayor desempeño se obtiene con ensemble y resultados cercanos entre modelos (GCN/EV-GCN/FCN/AE-FCN/SVM),Second-reader decision support,Keyword rule matched second-reader decision support,In-decision,Second-reader pattern maps to in-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
105,2018,https://doi.org/10.1155/2018/7186762,Señales fisiológicas,A Novel Deep Learning Approach for Recognizing Stereotypical Motor Movements within and across Subjects on the Autism Spectrum Disorder,Monitoring/intervention,Monitoring/intervention,0.0,0.0,Detection / segmentation,"para el escenario across-subjects combinan transfer learning + SVM classifier. Si tu Excel solo permite un algoritmo principal, deja CNN como principal y anota “SVM + transfer learning para across-subject”",Second-reader decision support,Keyword rule matched second-reader decision support,In-decision,Second-reader pattern maps to in-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
106,2025,https://doi.org/10.1371/journal.pone.0326022,No especificado,Analysis of variant interactions in families with autism points to genes involved in the development of the central nervous system,Diagnosis,Diagnosis,0.0,0.0,Classification (binary/multi-class; incl. ASD vs control)/ multi-class),"además del predictor supervisado, el paper también hace clustering de muestras para explorar heterogeneidad (menciona K-means y propone PAM/medoids por interpretabilidad en datos binarios)",Second-reader decision support,Keyword rule matched second-reader decision support,In-decision,Second-reader pattern maps to in-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
107,2020,https://doi.org/10.1109/TNSRE.2020.2991675,Imagen,Detecting High-Functioning Autism in Adults Using Eye Tracking and Machine Learning,Screening,Screening,0.0,0.0,Classification (binary/multi-class; incl. ASD vs control)/ multi-class),,Second-reader decision support,Keyword rule matched second-reader decision support,In-decision,Second-reader pattern maps to in-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
110,2020,https://doi.org/10.1002/aur.2268,Texto · NLP,Identifying Language and Cognitive Profiles in Children With ASD via a Cluster Analysis Exploration: Implications for the New ICD-11,Monitoring/intervention,Monitoring/intervention,0.0,0.0,Clustering / subtyping,,Second-reader decision support,Keyword rule matched second-reader decision support,In-decision,Second-reader pattern maps to in-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
113,2023,https://doi.org/10.1016/j.bbr.2022.114149,No especificado,Transient hearing abnormalities precede social deficits in a mouse model of autism,Prognosis,Prognosis,1.0,1.0,Classification (binary/multi-class; incl. ASD vs control)/ multi-class),Animal model; ML predicts genotype from ABR features (not ASD-vs-control clinical classification). Used as early risk indicator,Second-reader decision support,Keyword rule matched second-reader decision support,In-decision,Second-reader pattern maps to in-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
114,2024,https://doi.org/10.1016/B978-0-443-19073-5.00018-5,Imagen,Early-stage identification of autism in children using gesture monitoring based on artificial intelligence,screening,Screening,1.0,1.0,,,Risk stratification,Stage or keywords matched risk stratification,Pre-decision,Approach maps directly to pre-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
118,2023,https://doi.org/10.1038/s41591-023-02574-3,Imagen,Early detection of autism using digital behavioral phenotyping,Screening,Screening,1.0,1.0,Classification (binary/multi-class; incl. ASD vs control)/ multi-class),,Triage / questionnaires,Keyword rule matched triage/questionnaire workflow,Pre-decision,Approach maps directly to pre-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
119,2016,https://doi.org/10.1109/EMBC.2016.7591440,No especificado,Ensemble statistical and subspace clustering model for analysis of autism spectrum disorder phenotypes,Monitoring/intervention,Monitoring/intervention,1.0,1.0,Clustering / subtyping,Estudio de subtipificación/heterogeneidad en una cohorte ASD ya confirmada (SSC; ADI-R/ADOS); no clasifica ASD vs control como endpoint principal,Adaptive intervention,Fallback assigned from monitoring/intervention stage,Post-decision,Approach maps directly to post-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
122,2025,https://doi.org/10.1109/ACCESS.2025.3531979,Señales fisiológicas,A Quantum-Based Machine Learning Approach for Autism Detection Using Common Spatial Patterns of EEG Signals,Diagnosis,Diagnosis,0.0,0.0,Classification (binary/multi-class; incl. ASD vs control)/ multi-class),,Feature extraction,Keyword rule matched feature extraction workflow,Pre-decision,Approach maps directly to pre-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
123,2022,https://doi.org/10.1016/j.procs.2022.03.061,Texto · NLP,Algorithmic Approaches to Classify Autism Spectrum Disorders: A Research Perspective,screening,Screening,0.0,0.0,,,Second-reader decision support,Keyword rule matched second-reader decision support,In-decision,Second-reader pattern maps to in-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
124,2023,https://doi.org/10.1016/j.heliyon.2023.e21530,Imagen,ASD2-TL∗ GTO: Autism spectrum disorders detection via transfer learning with gorilla troops optimizer framework,Screening,Screening,1.0,1.0,Classification (binary/multi-class; incl. ASD vs control)/ multi-class),El “main” encaja mejor como CNN porque usa transfer learning con DenseNet169 para imágenes faciales; además usa un metaheurístico (GTO) para selección de características y también experimentos con datos de screening (UCI). GTO no aparece en tu lista; por eso debe ir en comentario,Feature extraction,Keyword rule matched feature extraction workflow,Pre-decision,Approach maps directly to pre-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
125,2019,https://doi.org/10.1007/s10278-019-00196-1,Imagen,Diagnosis of Autism Spectrum Disorders in Young Children Based on Resting-State Functional Magnetic Resonance Imaging Data Using Convolutional Neural Networks,Diagnosis,Diagnosis,1.0,1.0,Classification (binary/multi-class; incl. ASD vs control)/ multi-class),"demás de CNN, reporta transfer learning y combinación de clasificadores (mixture of experts / simple Bayes), pero el núcleo es CNN para clasificar ASD vs no-ASD con rs-fMRI (ABIDE).",Second-reader decision support,Keyword rule matched second-reader decision support,In-decision,Second-reader pattern maps to in-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
128,2018,https://doi.org/10.2196/mental.9631,Imagen,"Improvement of attention-deficit/hyperactivity disorder symptoms in school-aged children, adolescents, and young adults with autism via a digital smartglasses-based socioemotional coaching aid: Short-term, uncontrolled pilot study",screening,Screening,1.0,1.0,,,Triage / questionnaires,Keyword rule matched triage/questionnaire workflow,Pre-decision,Approach maps directly to pre-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
129,2025,https://doi.org/10.1007/978-981-96-6960-8_26,No especificado,Investigating Diagnostic Data and Performance Implications in the Autism AI Dataset,Screening,Screening,0.0,0.0,Classification (binary/multi-class; incl. ASD vs control)/ multi-class),,Triage / questionnaires,Keyword rule matched triage/questionnaire workflow,Pre-decision,Approach maps directly to pre-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
132,2016,https://doi.org/10.1111/JCPP.12559,Texto · NLP,"Use of machine learning to improve autism screening and diagnostic instruments: Effectiveness, efficiency, and multi‐instrument fusion",Screening,Screening,1.0,1.0,Classification (binary/multi-class; incl. ASD vs control)/ multi-class),,Second-reader decision support,Keyword rule matched second-reader decision support,In-decision,Second-reader pattern maps to in-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
136,2022,https://doi.org/10.1016/j.neucom.2022.02.017,Señales fisiológicas,A semi-supervised autoencoder for autism disease diagnosis,diagnosis,Diagnosis,0.0,0.0,Classification (binary/multi-class; incl. ASD vs control)/ multi-class),,Feature extraction,Keyword rule matched feature extraction workflow,Pre-decision,Approach maps directly to pre-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
140,2023,https://doi.org/10.1007/s11517-023-02859-2,Imagen,Autism spectrum disorder diagnosis based on deep unrolling-based spatial constraint representation.,Diagnosis,Diagnosis,0.0,0.0,Classification (binary/multi-class; incl. ASD vs control)/ multi-class),,Second-reader decision support,Keyword rule matched second-reader decision support,In-decision,Second-reader pattern maps to in-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
