study_id,title,year,doi,assigned_to,source_file,source_modality_display,stage_assignments_display,stage_assignment_origin,ai_method_display,algorithm_display_raw,notes_issue_tags,notes_coding
194,Feature replacement methods enable reliable home video analysis for machine learning detection of autism,2020,https://doi.org/10.1038/s41598-020-76874-w,Revisor B,aceptados_300_codificado_RB.xlsx,Image,Diagnosis | Monitoring/intervention,stage_flags,Machine Learning,Logistic Regression,,"El paper evalúa dos familias (LR9 y ADTree7). Si tu columna “main algorithm” solo permite una opción, conviene añadir una opción tipo “Multiple (specify)” o permitir multiselección para no perder fidelidad"
229,Autoencoder Based Methods for Diagnosis of Autism Spectrum Disorder,2020,https://doi.org/10.1007/978-3-030-46165-2_4,Revisor B,aceptados_300_codificado_RB.xlsx,Not specified,Diagnosis,stage_flags,Deep Learning,Autoencoder,Primary model chosen from comparisons,"Pipeline AE + (SVM/KNN/subspace discriminant) + DNN; AE+DNN logra mejor (accuracy 79.2%, AUC 82.4%). Paradigma mixto: AE (no supervisado) + clasificador (supervisado); abstract no etiqueta “supervised”."
232,Classification of autism spectrum disorder based on fluctuation entropy of spontaneous hemodynamic fluctuations,2020,https://doi.org/10.1016/j.bspc.2020.101958,Revisor B,aceptados_300_codificado_RB.xlsx,Physiological signals,Diagnosis,stage_flags,Machine Learning,Other / unclear,,"arcar Other/Not clear en main algorithm y en notas anotar que el “network cluster classification model” incluye SVM + Gaussian Naive Bayes + Decision Tree + MLP + Logistic Regression. Además, el artículo menciona posible uso futuro en screening, pero aquí el uso directo descrito es diagnóstico"
233,Classification of autism spectrum disorder based on sample entropy of spontaneous functional near infra-red spectroscopy signal,2020,https://doi.org/10.1016/j.clinph.2019.12.400,Revisor B,aceptados_300_codificado_RB.xlsx,Physiological signals,Diagnosis | Monitoring/intervention,stage_flags,Machine Learning,Clustering (k-means / GMM / ...),,"arcar Other/Not clear en main algorithm y en notas anotar que el “network cluster classification model” incluye SVM + Gaussian Naive Bayes + Decision Tree + MLP + Logistic Regression. Además, el artículo menciona posible uso futuro en screening, pero aquí el uso directo descrito es diagnóstico"
269,Self-weighted adaptive structure learning for ASD diagnosis via multi-template multi-center representation,2020,https://doi.org/10.1016/j.media.2020.101662,Revisor B,aceptados_300_codificado_RB.xlsx,Multimodal,Diagnosis,stage_primary_fallback,Deep Learning,Other / unclear,,"el algoritmo principal es SASL-E/SASL, no uno de tu lista"
22,A CNN deep local and global ASD classification approach with continuous wavelet transform using task-based FMRI,2021,https://doi.org/10.3390/s21175822,Revisor B,aceptados_300_codificado_RB.xlsx,Physiological signals,Screening | Diagnosis,stage_flags,Deep Learning,CNN,,"Incluye clustering para ROI/selección dimensional y generan “brain map indicating ASD severity level”, pero el objetivo central del sistema es clasificación ASD vs TD con CNN."
31,ASD classification for children using deep neural network,2021,https://doi.org/10.1016/j.gltp.2021.08.042,Revisor B,aceptados_300_codificado_RB.xlsx,Not specified,Diagnosis,stage_flags,Deep Learning,MLP,Hybrid or fusion architecture,Tabular screening dataset; diffusion mapping + DNN classifier.
38,Machine learning analysis of pregnancy data enables early identification of a subpopulation of newborns with ASD,2021,https://doi.org/10.1038/s41598-021-86320-0,Revisor B,aceptados_300_codificado_RB.xlsx,Image,Diagnosis,stage_flags,Machine Learning,XGBoost / GBDT,Explainability or validation detail,“Main classifier: Gradient Boosting Decision Trees implemented with XGBoost; feature selection via Lasso (automatic / semi-automatic) + SHAP interpretability; nested CV.
49,A Triple-Pooling Graph Neural Network for\&#xa0;Multi-scale Topological Learning of\&#xa0;Brain Functional Connectivity: Application to\&#xa0;ASD Diagnosis,2021,https://doi.org/10.1007/978-3-030-93049-3_30,Revisor B,aceptados_300_codificado_RB.xlsx,Physiological signals,Diagnosis,stage_primary_fallback,Deep Learning,Other / unclear,Outside codebook or forced mapping,Graph Neural Network (TPGNN) for rs-fMRI functional connectivity; mapped to Other (GNN not in list)
183,Computational Methods to Measure Patterns of Gaze in Toddlers with Autism Spectrum Disorder,2021,https://doi.org/10.1001/jamapediatrics.2021.0530,Revisor B,aceptados_300_codificado_RB.xlsx,Image,Diagnosis | Monitoring/intervention,stage_flags,Deep Learning,Decision Tree,,No es “diagnóstico” como tal; es una herramienta en visita pediátrica para detectar síntomas tempranos/riesgo usando patrones de mirada.
199,Informing developmental milestone achievement for children with autism: Machine learning approach,2021,https://doi.org/10.2196/29242,Revisor B,aceptados_300_codificado_RB.xlsx,Not specified,Screening | Monitoring/intervention,stage_flags,Hybrid,MLP,,Binary classification of milestone achievement; not ASD-vs-control.
91,Integrating Graph Convolutional Networks (GCNNs) and Long Short-Term Memory (LSTM) for Efficient Diagnosis of Autism,2022,https://doi.org/10.1007/978-3-031-09342-5_11,Revisor B,aceptados_300_codificado_RB.xlsx,Not specified,Diagnosis,stage_flags,Deep Learning,Other / unclear,Outside codebook or forced mapping | Hybrid or fusion architecture,Hybrid GCNN + LSTM on ABIDE fMRI; mapped to Other because GNN not in algorithm list.
160,"Imputing cognitive impairment in SPARK, a large autism cohort",2022,https://doi.org/10.1002/AUR.2622,Revisor B,aceptados_300_codificado_RB.xlsx,Text / NLP,Diagnosis | Monitoring/intervention,stage_flags,Deep Learning,Logistic Regression,,el modelo no busca detectar ASD vs no-ASD; trabaja dentro de una cohorte ASD para imputar/estimar capacidad cognitiva / impairment (FSIQ y umbrales). Eso no cae limpio en Prescreening/Screening/Diagnosis/Prognosis/Monitoring de ASD.
264,Non-Oscillatory Connectivity Approach for Classification of Autism Spectrum Disorder Subtypes Using Resting-State fMRI,2022,https://doi.org/10.1109/ACCESS.2022.3146719,Revisor B,aceptados_300_codificado_RB.xlsx,Physiological signals,Diagnosis,stage_primary_fallback,Hybrid,SVM,Multiple models compared | Primary model chosen from comparisons,"No hay un único “modelo”; hay un pipeline de conectividad NOC + selección por p-values + comparación de clasificadores, y SVM queda como el mejor. 

Non-Oscillatory_Connectivity_Ap…

Dataset de subtipos es pequeño (36 sujetos por clase), y además validan ASD vs NC con un dataset grande (505 ASD / 530 NC). Esto puede ser importante si tu Excel tiene campo de “tamaño/validación”."
283,Employing Machine Learning-Based Predictive Analytical Approaches to Classify Autism Spectrum Disorder Types,2022,https://doi.org/10.1155/2022/8134018,Revisor B,aceptados_300_codificado_RB.xlsx,Not specified,Prognosis,stage_flags,Deep Learning,MLP,,"No es “ASD vs TD” puro; es clasificación de severidad (incluye “No ASD” + Levels 1–3). Si tu análisis separa “diagnosis binaria” vs “severity”, aquí conviene anotarlo."
39,Machine Learning-Based Blood RNA Signature for Diagnosis of Autism Spectrum Disorder,2023,https://doi.org/10.3390/ijms24032082,Revisor B,aceptados_300_codificado_RB.xlsx,Not specified,Diagnosis | Prognosis | Monitoring/intervention,stage_flags,Machine Learning,Random Forest,,También usan Extra Trees
53,Development and validation of a machine learning-based tool to predict autism among children,2023,https://doi.org/10.1002/AUR.2912,Revisor B,aceptados_300_codificado_RB.xlsx,Not specified,Diagnosis,stage_flags,Machine Learning,Logistic Regression,Multiple models compared,También entrenan Gradient Boosted Trees (XGBoost/GBDT) y reportan desempeño comparable en validación.
90,Handwriting-Based ADHD Detection for Children Having ASD Using Machine Learning Approaches,2023,https://doi.org/10.1109/ACCESS.2023.3302903,Revisor B,aceptados_300_codificado_RB.xlsx,Not specified,Diagnosis | Prognosis,stage_flags,Machine Learning,Random Forest,Primary model chosen from comparisons,Target is ADHD with coexisting ASD vs healthy (not ASD diagnosis). RF best on periodic lines task.
113,Transient hearing abnormalities precede social deficits in a mouse model of autism,2023,https://doi.org/10.1016/j.bbr.2022.114149,Revisor B,aceptados_300_codificado_RB.xlsx,Not specified,Screening | Diagnosis | Prognosis | Monitoring/intervention,stage_flags,Machine Learning,SVM,,Animal model; ML predicts genotype from ABR features (not ASD-vs-control clinical classification). Used as early risk indicator
124,ASD2-TL∗ GTO: Autism spectrum disorders detection via transfer learning with gorilla troops optimizer framework,2023,https://doi.org/10.1016/j.heliyon.2023.e21530,Revisor B,aceptados_300_codificado_RB.xlsx,Image,Diagnosis | Prognosis | Monitoring/intervention,stage_flags,Deep Learning,CNN,Primary model chosen from comparisons,El “main” encaja mejor como CNN porque usa transfer learning con DenseNet169 para imágenes faciales; además usa un metaheurístico (GTO) para selección de características y también experimentos con datos de screening (UCI). GTO no aparece en tu lista; por eso debe ir en comentario
275,A Fusion-Based Machine Learning Approach for Autism Detection in Young Children Using Magnetoencephalography Signals,2023,https://doi.org/10.1007/s10803-022-05767-w,Revisor B,aceptados_300_codificado_RB.xlsx,Physiological signals,Diagnosis,stage_primary_fallback,Machine Learning,MLP,,"Aunque el paper enfatiza “young children” y “early markers”, el uso que reporta es clasificación ASD vs TD en una muestra ya diagnosticada; por eso “Diagnosis” es el mapeo más consistente con tus opciones."
17,Machine learning classification of autism spectrum disorder based on reciprocity in naturalistic social interactions,2024,https://doi.org/10.1038/s41398-024-02802-5,Revisor B,aceptados_300_codificado_RB.xlsx,Image,Diagnosis,stage_flags,Machine Learning,SVM,,Naturalistic social interaction videos; open-source computer vision used for objective annotation (movement/facial expression synchrony); features fed into SVM model to classify autistic vs non-autistic interaction dyads; supplementary exploratory RF mentioned
47,A novel multi-modal model to assist the diagnosis of autism spectrum disorder using eye-tracking data,2024,https://doi.org/10.1007/s13755-024-00299-2,Revisor B,aceptados_300_codificado_RB.xlsx,Image,Diagnosis | Monitoring/intervention,stage_flags,Not specified,RNN/LSTM/GRU,Outside codebook or forced mapping | Hybrid or fusion architecture,Hybrid CNN-GRU-ANN; mapped to RNN/LSTM/GRU as main due to temporal sequence modeling
84,Creating a diagnostic assessment model for autism spectrum disorder by differentiating lexicogrammatical choices through machine learning,2024,https://doi.org/10.1371/journal.pone.0311209,Revisor B,aceptados_300_codificado_RB.xlsx,Text / NLP,Diagnosis | Monitoring/intervention,stage_flags,Deep Learning,RNN/LSTM/GRU,Multiple models compared,comparan modelo lineal vs DNN; el modelo lineal es logistic regression (baseline interpretable).
154,Enhancing Early Diagnosis of Autism Spectrum Disorder in Children: A Comparative Analysis of Machine Learning Techniques,2024,https://doi.org/10.1007/978-981-97-6995-7_34,Revisor B,aceptados_300_codificado_RB.xlsx,Not specified,Diagnosis | Monitoring/intervention,stage_flags,Machine Learning,Other / unclear,Multiple models compared | Primary model chosen from comparisons,Comparative study; no best model declared in abstract
159,Hybrid similarity based feature selection and cascade deep maxout fuzzy network for Autism Spectrum Disorder detection using EEG signal,2024,https://doi.org/10.1016/j.compbiolchem.2024.108177,Revisor B,aceptados_300_codificado_RB.xlsx,Physiological signals,Diagnosis,stage_flags,Deep Learning,Other / unclear,,"Cascade Deep Maxout Fuzzy Network (DMN + neuro-fuzzy), con feature selection por medidas de similitud"
164,Multimodal Kernel-based discriminant correlation analysis data-fusion approach: an automated autism spectrum disorder diagnostic system,2024,https://doi.org/10.1007/s13246-023-01350-4,Revisor B,aceptados_300_codificado_RB.xlsx,Physiological signals,Screening | Diagnosis | Prognosis | Monitoring/intervention,stage_flags,Machine Learning,SVM,,Fusión MKDCA + SVM; multimodal EEG+eye-tracking+computational”.
296,STDCformer: Spatial-temporal dual-path cross-attention model for fMRI-based autism spectrum disorder identification,2024,https://doi.org/10.1016/j.heliyon.2024.e34245,Revisor B,aceptados_300_codificado_RB.xlsx,Physiological signals,Monitoring/intervention,stage_flags,Deep Learning,Transformer,Hybrid or fusion architecture,"arquitectura híbrida: embedding temporal con “LSTM” y embedding espacial con “GAT”, integrados con “dual-path cross-attention” y “2D convolution” en el feed-forward."
1,A Clinically Interpretable Approach for Early Detection of Autism Using Machine Learning With Explainable AI,2025,https://doi.org/10.1109/ACCESS.2025.3586314,Revisor B,aceptados_300_codificado_RB.xlsx,Not specified,Prescreening | Screening | Diagnosis | Prognosis | Monitoring/intervention,stage_flags,Machine Learning,Random Forest,Multiple models compared | Primary model chosen from comparisons | Explainability or validation detail,"“Comparative ML study: Naive Bayes, SVM, Random Forest; RF best; explainability via SHAP; 5-fold CV.”"
4,Cognitive Disorder Detection Used for Early Autism Screening Using Deep Learning,2025,https://doi.org/10.1007/978-981-96-3942-7_18,Revisor B,aceptados_300_codificado_RB.xlsx,Not specified,Diagnosis | Monitoring/intervention,stage_flags,Deep Learning,MLP,,Classification task; target label not consistently described (cognitive disorder/MiCD vs ‘early autism screening
11,Data Mining-Based Model for Computer-Aided Diagnosis of Autism and Gelotophobia: Mixed Methods Deep Learning Approach.,2025,https://doi.org/10.2196/72115,Revisor B,aceptados_300_codificado_RB.xlsx,Image,Diagnosis | Monitoring/intervention,stage_flags,Deep Learning,MLP,Multiple models compared | Primary model chosen from comparisons,ASD status classification from facial images using DeepFace feature extraction; multiple ML models evaluated; MLP reported as highest test accuracy; gelotophobia assessed via DeepFace emotion analysis + GELOPH<15> questionnaire as confirmatory when facial cues ambiguous
15,Hybrid CNN and random forest model with late fusion for detection of autism spectrum disorder in Toddlers,2025,https://doi.org/10.1016/j.mex.2025.103278,Revisor B,aceptados_300_codificado_RB.xlsx,Image,Screening | Diagnosis | Monitoring/intervention,stage_flags,Hybrid,Other / unclear,Hybrid or fusion architecture,Hybrid late-fusion: VGG16 (CNN feature extractor) + Random Forest classifier; compares vs VGG16/EfficientNet/AlexNet and conventional ML
29,An intellectual autism spectrum disorder classification framework in healthcare industry using ViT-based adaptive deep learning model,2025,https://doi.org/10.1016/j.bspc.2025.107737,Revisor B,aceptados_300_codificado_RB.xlsx,Image,Screening | Diagnosis,stage_flags,Deep Learning,Transformer,Outside codebook or forced mapping | Hybrid or fusion architecture,Hybrid architecture includes ViT + (Adaptive Residual DenseNet) + LSTM; mapped to Transformer as primary component.
32,ASD-GraphNet: A novel graph learning approach for Autism Spectrum Disorder diagnosis using fMRI data,2025,https://doi.org/10.1016/j.compbiomed.2025.110723,Revisor B,aceptados_300_codificado_RB.xlsx,Physiological signals,Diagnosis | Monitoring/intervention,stage_flags,Machine Learning,Other / unclear,Algorithm not explicit or unspecified | Primary model chosen from comparisons,"Graph feature engineering + classifier comparison (LR, SVM, XGBoost/LightGBM); main/best model not specified in abstract"
64,Leveraging hybrid model of ConvNextBase and LightGBM for early ASD detection via eye-gaze analysis,2025,https://doi.org/10.1016/j.mex.2025.103166,Revisor B,aceptados_300_codificado_RB.xlsx,Image,Screening | Diagnosis | Prognosis,stage_flags,Hybrid,XGBoost / GBDT,,Es un híbrido: ConvNeXtBase (CNN) como extractor de características + LightGBM (GBDT) como clasificador.
86,"Dissecting the heterogeneity of autism spectrum disorder with sensory behavior, brain, and epigenetic factors",2025,https://doi.org/10.1038/s41398-025-03566-2,Revisor B,aceptados_300_codificado_RB.xlsx,Physiological signals,Diagnosis,stage_primary_fallback,Deep Learning,XGBoost / GBDT,,Clasificación ASD vs control integrando AASP (sensory behavior) + neuroimagen + metilación (OXTR/AVPR). Evaluaron varios algoritmos; el modelo final reportado usa XGBoost (otros probados: RF/SVM/LR).
104,A Framework for Comparison and Interpretation of Machine Learning Classifiers to Predict Autism on the ABIDE Dataset,2025,https://doi.org/10.1002/hbm.70190,Revisor B,aceptados_300_codificado_RB.xlsx,Multimodal,Diagnosis,stage_primary_fallback,Hybrid,Other / unclear,Multiple models compared,este paper es benchmark/comparación bajo un marco estandarizado; reporta que el mayor desempeño se obtiene con ensemble y resultados cercanos entre modelos (GCN/EV-GCN/FCN/AE-FCN/SVM)
106,Analysis of variant interactions in families with autism points to genes involved in the development of the central nervous system,2025,https://doi.org/10.1371/journal.pone.0326022,Revisor B,aceptados_300_codificado_RB.xlsx,Not specified,Diagnosis,stage_primary_fallback,Machine Learning,SVM,,"además del predictor supervisado, el paper también hace clustering de muestras para explorar heterogeneidad (menciona K-means y propone PAM/medoids por interpretabilidad en datos binarios)"
291,MCDGLN: Masked connection-based dynamic graph learning network for autism spectrum disorder,2025,https://doi.org/10.1016/j.brainresbull.2025.111290,Revisor B,aceptados_300_codificado_RB.xlsx,Physiological signals,Prognosis,stage_flags,Deep Learning,Other / unclear,,Modelo explícitamente dinámico + máscara anti-ruido: “segments BOLD signals using sliding temporal windows… and… mask… reducing noise and pruning irrelevant links.” Además reportan dataset ABIDE-I “1035 subjects… 505 with ASD and 530 TD”
297,The Use of the Social Robot LOVOT for Children with Autism Spectrum Disorder: A Feasibility Study,2025,https://doi.org/10.3233/SHTI251499,Revisor B,aceptados_300_codificado_RB.xlsx,Not specified,Monitoring/intervention,stage_flags,Not specified,Other / unclear,,paper cualitativo de factibilidad; menciona “AI functionalities” pero no especifica algoritmo ML.
